,brick row,shoe column,shoe row,results
0,12,3,14,5.582646390738309e-06
1,7,2,2,3.4001131062070057e-06
2,17,2,15,5.266250067239008e-07
3,6,1,5,4.1650251989123194e-05
4,9,2,13,0.00011052999019115386
5,1,4,13,2.253940793775045e-06
6,9,1,15,0.0014470284934265751
7,14,2,9,5.266247569245923e-07
8,18,1,5,6.131172035212127e-08
9,15,2,9,3.508093987034984e-07
10,2,2,7,0.00025921887438685
11,6,2,9,0.0007740354443016678
12,12,4,4,3.9770799818433896e-07
13,12,4,5,4.908212749122588e-07
14,6,4,17,6.124412672461452e-05
15,13,4,18,1.795772754265047e-05
16,12,3,3,2.7447985376222187e-07
17,11,2,1,3.508094212866807e-07
18,17,2,4,8.262979934603677e-08
19,1,3,8,1.6101693195622154e-05
20,6,3,11,0.013258490585428044
21,15,2,2,1.0926491966683005e-07
22,8,1,9,4.165026126163256e-05
23,10,1,1,6.564376900783819e-07
24,3,2,2,0.0002592188291633208
25,7,1,2,4.364655634813078e-06
26,3,2,15,7.107759473954369e-06
27,1,1,13,3.003218094753858e-06
28,18,3,9,6.813171356606391e-08
29,2,1,5,0.005610637810633148
30,5,4,9,0.014242380562670713
31,1,1,17,9.148697744680668e-07
32,3,2,10,0.00011053012963184603
33,16,4,5,1.167071928850488e-07
34,12,4,2,2.6921301771440474e-07
35,6,3,7,8.789007053162049e-05
36,10,1,7,3.1325264419729903e-06
37,5,2,6,0.00025921860476467575
38,10,4,8,3.275710877550549e-06
39,15,2,11,5.266252655712764e-07
40,2,2,8,0.00011052999597110957
41,13,2,4,2.904637822080317e-07
42,2,1,7,0.0004451303365047566
43,16,3,3,7.412399097722142e-08
44,18,1,15,2.998218040349e-07
45,3,4,11,6.124416910921614e-05
46,7,3,16,0.0006295921857202683
47,8,1,17,0.005610639064059617
48,17,2,9,1.729549312694397e-07
49,11,3,11,3.7951290775119495e-06
50,1,4,3,0.00372208606817036
51,6,1,15,0.0004451306310722196
52,6,4,5,3.166762123045842e-05
53,8,4,1,1.2988222310095967e-06
54,7,2,15,0.003755676525477086
55,17,4,5,8.724924220566857e-08
56,9,4,10,1.795773536547908e-05
57,7,3,6,1.3721496670405292e-05
58,1,4,7,4.214062905041125e-05
59,6,4,8,0.00035437205812199397
60,14,1,10,8.194059898200238e-07
61,6,1,17,7.994462140145256e-05
62,13,3,10,8.286059626781215e-07
63,8,2,3,2.4579232286624566e-06
64,8,4,10,6.124413288567939e-05
65,14,1,1,1.5627597052136616e-07
66,7,2,16,0.0007740373191858581
67,12,4,3,3.2566112016015927e-07
68,1,2,16,9.462209275009637e-07
