,brick row,shoe column,shoe row,results
0,1,2,1,0.012931344026254427
1,1,2,10,1.1381957476978708e-05
2,1,2,11,7.442293508313133e-06
3,1,2,12,5.0618770842625684e-06
4,1,2,13,3.5579818339207372e-06
5,1,2,14,2.571510095276772e-06
6,1,2,15,1.9034079604347506e-06
7,1,2,16,1.4382782917274166e-06
8,1,2,17,1.1065937987758342e-06
9,1,2,18,8.650355874649977e-07
10,1,2,2,0.012931328160935358
11,1,2,3,0.003859334746103161
12,1,2,4,0.0008152023897538615
13,1,2,5,0.00027309741927546046
14,1,2,6,0.00011625071886406142
15,1,2,7,5.716901164517747e-05
16,1,2,8,3.110530878843388e-05
17,1,2,9,1.826299502985914e-05
18,1,3,1,0.013194132758417146
19,1,3,10,8.866014123427636e-06
20,1,3,11,5.789577562707092e-06
21,1,3,12,3.933882599117315e-06
22,1,3,13,2.763010052174637e-06
23,1,3,14,1.9957556258268027e-06
24,1,3,15,1.4765357985582796e-06
25,1,3,16,1.1152890959598377e-06
26,1,3,17,8.578183519295955e-07
27,1,3,18,6.703892383037136e-07
28,1,3,2,0.013194136572580192
29,1,3,3,0.003466392833990347
30,1,3,4,0.0006608547925217575
31,1,3,5,0.0002173836690012944
32,1,3,6,9.175736334201798e-05
33,1,3,7,4.488419957274336e-05
34,1,3,8,2.433371610437971e-05
35,1,3,9,1.4251501826622569e-05
36,1,4,1,0.013387294812198964
37,1,4,10,1.4459845581744352e-05
38,1,4,11,9.310695910916697e-06
39,1,4,12,6.2602012616157295e-06
40,1,4,13,4.361634883503249e-06
41,1,4,14,3.1306787812981954e-06
42,1,4,15,2.3046187617237982e-06
43,1,4,16,1.7337435588311981e-06
44,1,4,17,1.3290873664712705e-06
45,1,4,18,1.0358396675344914e-06
46,1,4,2,0.013387293321352902
47,1,4,3,0.005581624317019921
48,1,4,4,0.001439143360388809
49,1,4,5,0.0004431177730907499
50,1,4,6,0.0001726538715658051
51,1,4,7,7.97400237571436e-05
52,1,4,8,4.1568939953168494e-05
53,1,4,9,2.369475013265966e-05
54,1,1,1,0.01416728579824125
55,1,1,10,1.0907157034381447e-05
56,1,1,11,7.007540358405764e-06
57,1,1,12,4.704018527452384e-06
58,1,1,13,3.2734243203622374e-06
59,1,1,14,2.347389679310828e-06
60,1,1,15,1.7267374730640507e-06
61,1,1,16,1.2982441862921259e-06
62,1,1,17,9.947575050611669e-07
63,1,1,18,7.749702426347506e-07
64,1,1,2,0.0141672840925873
65,1,1,3,0.005377397456679346
66,1,1,4,0.0012137753616315468
67,1,1,5,0.00035262683870958
68,1,1,6,0.00013397654808849183
69,1,1,7,6.108104455942094e-05
70,1,1,8,3.1603997910490836e-05
71,1,1,9,1.7929735146624088e-05
72,10,2,1,5.505996857347243e-07
73,10,2,10,7.442291694004024e-06
74,10,2,11,1.1381954310298397e-05
75,10,2,12,1.8262993338219082e-05
76,10,2,13,3.110531809638256e-05
77,10,2,14,5.716902679437175e-05
78,10,2,15,0.00011625074799325714
79,10,2,16,0.0002730975092443165
80,10,2,17,0.0008152029002548434
81,10,2,18,0.0038593558156391396
82,10,2,2,6.858063211380887e-07
83,10,2,3,8.650342616976902e-07
84,10,2,4,1.1065932549760363e-06
85,10,2,5,1.4382774034321307e-06
86,10,2,6,1.9034067676910401e-06
87,10,2,7,2.571508455843686e-06
88,10,2,8,3.557979518139091e-06
89,10,2,9,5.0618768407684745e-06
90,10,3,1,4.2653280484357123e-07
91,10,3,10,5.789576351738599e-06
92,10,3,11,8.866011995069796e-06
93,10,3,12,1.4251501118874596e-05
94,10,3,13,2.4333724518264914e-05
95,10,3,14,4.488421367760238e-05
96,10,3,15,9.175739075354064e-05
97,10,3,16,0.00021738374911296765
98,10,3,17,0.0006608552197425244
99,10,3,18,0.00346639365017943
100,10,3,2,5.313723090488438e-07
101,10,3,3,6.703882242708711e-07
102,10,3,4,8.578179486401212e-07
103,10,3,5,1.115288432606171e-06
104,10,3,6,1.476534909602373e-06
105,10,3,7,1.9957544065529406e-06
106,10,3,8,2.763008333801006e-06
107,10,3,9,3.933882535377907e-06
108,10,4,1,6.56256910842644e-07
109,10,4,10,9.31069266894056e-06
110,10,4,11,1.4459839944743072e-05
111,10,4,12,2.3694745342177308e-05
112,10,4,13,4.1568947208882434e-05
113,10,4,14,7.974003338928837e-05
114,10,4,15,0.00017265388236643587
115,10,4,16,0.0004431177831811413
116,10,4,17,0.0014391431019093652
117,10,4,18,0.005581632681246462
118,10,4,2,8.191535577385883e-07
119,10,4,3,1.0358380069949638e-06
120,10,4,4,1.3290866140960252e-06
121,10,4,5,1.733742352448596e-06
122,10,4,6,2.3046171280602374e-06
123,10,4,7,3.1306765143806626e-06
124,10,4,8,4.361631646706614e-06
125,10,4,9,6.260200373943747e-06
126,10,1,1,4.906857848161285e-07
127,10,1,10,7.007537910517448e-06
128,10,1,11,1.0907152762098548e-05
129,10,1,12,1.792973149493317e-05
130,10,1,13,3.1604003291179454e-05
131,10,1,14,6.108105140268583e-05
132,10,1,15,0.00013397655404238592
133,10,1,16,0.0003526268345686184
134,10,1,17,0.001213775079042196
135,10,1,18,0.005377405620263876
136,10,1,2,6.126537621507914e-07
137,10,1,3,7.749690003414032e-07
